,acuity_score,col,config_num,max_num_people,optical_flow,robot_col,robot_row,row,segment_number,video_name
0,0.26268522328500743,10,0,2,0.4526353864865802,11,9,6,seg_0556,Hopkins - Episode 2
1,0.9336582677057311,3,0,4,0.5994525986103659,11,9,7,seg_0578,Hopkins - Episode 4
2,0.021713760185086466,9,0,1,0.3692440885773265,11,9,4,seg_0597,Hopkins - Episode 6
3,0.3890385251581446,11,0,3,0.39544539209873536,11,9,8,seg_0683,Life _amp Death On Call With The Trauma Service  CNA Insider
4,0.019628873211036738,7,0,2,0.18230319076620996,11,9,11,seg_0569,Hopkins - Episode 4
5,0.0,4,0,2,0.16047156039308286,11,9,3,seg_0159,Trauma Investigators - Season 1 Episode 6
6,0.17601287278801242,5,0,4,0.1781183213466754,11,9,6,seg_0004,Richard Wakes Up After Surgery - Grey_39s Anatomy
7,0.9293790496245241,11,0,5,0.4776583056776658,11,9,3,seg_0140,Trauma  Life in the E R    Desert Crossroads
8,1.0,10,0,5,0.5090767262588217,11,9,11,seg_0419,Boston Med - Episode 1
9,0.491734973310819,5,0,4,0.3536945789630734,11,9,0,seg_0093,Student Nurses - Episode 1 (Medical Documentary)
10,1.0,5,1,5,0.5472757105917029,6,0,0,seg_0574,Hopkins - Episode 4
11,1.0,1,1,5,0.5472757105917029,6,0,0,seg_0574,Hopkins - Episode 4
12,0.0,0,1,3,0.053833428918987375,6,0,9,seg_0672,Level One Trauma
13,0.253600148528139,3,1,2,0.4072448987537764,6,0,8,seg_0565,Hopkins - Episode 4
14,0.21575584254554306,6,1,4,0.17926132913337128,6,0,10,seg_0650,Inside St Paul’s ER The front line of the overdose crisis
15,0.7200542376931035,9,1,5,0.40311045877585217,6,0,6,seg_0223,Trauma Life in the ER - Judgment Calls  - Trauma Pro
16,0.34375286041785386,6,1,3,0.3488740186638366,6,0,3,seg_0448,Cold Black 1
17,0.6516681088832229,5,1,4,0.4598665842742598,6,0,3,seg_0260,Trauma Life in the ER - Muddy Water  - Trauma Pro
18,0.767925852620459,3,1,5,0.4277631749447357,6,0,11,seg_0117,Terry Foster on Untold Stories of the ER (episode 913)
19,0.8502070820010378,6,1,4,0.5876700059930188,6,0,4,seg_0103,TLC Trauma Life in the ER Trick or Trauma
20,0.04454215786033619,9,2,3,0.07638843963044198,4,3,2,seg_0680,Level One Trauma
21,0.4789332967703395,2,2,4,0.3205537852477341,4,3,3,seg_0682,Life _amp Death On Call With The Trauma Service  CNA Insider
22,0.1004126363705929,3,2,2,0.18230319076620996,4,3,9,seg_0569,Hopkins - Episode 4
23,0.07933222140411758,10,2,2,0.15675164834071875,4,3,11,seg_0613,Hopkins - Episode 7
24,0.0,1,2,2,0.06059317023962561,4,3,0,seg_0595,Hopkins - Episode 6
25,0.5818639853564423,6,2,3,0.5105798124676916,4,3,8,seg_0007,Save My Life Boston Trauma (2015) Season 1 4
26,0.08240120598425768,6,2,2,0.16047156039308286,4,3,4,seg_0159,Trauma Investigators - Season 1 Episode 6
27,1.0,0,2,5,0.5090767262588217,4,3,6,seg_0419,Boston Med - Episode 1
28,0.4049619376005237,1,2,2,0.551446986246788,4,3,9,seg_0144,Trauma  Life in the E R    Desert Crossroads
29,0.6639016230268096,3,2,4,0.43265371409710746,4,3,6,seg_0258,Trauma Life in the ER - Muddy Water  - Trauma Pro
30,0.06556685956740253,0,3,5,0.13704862578878266,8,11,9,seg_0678,Level One Trauma
31,0.6420832744106657,6,3,2,1.0,8,11,4,seg_0636,Hopkins 247 - Episode 1
32,0.41754790820938714,3,3,3,0.4959809134613662,8,11,5,seg_0673,Level One Trauma
33,0.07959919658860935,0,3,2,0.35862207290554743,8,11,3,seg_0635,Hopkins 247 - Episode 1
34,0.0,2,3,1,0.5357166334090926,8,11,3,seg_0586,Hopkins - Episode 6
35,0.3437925214370785,9,3,4,0.3299355374160773,8,11,3,seg_0101,Surviving A_ampE Junior Doctor Diaries  Part 2  (Medical Documentary)  Real Stories
36,0.3180598531562246,9,3,4,0.31526457508014033,8,11,6,seg_0286,Trauma Life in the ER - Tough Town  - Trauma Pro
37,1.0,6,3,5,0.5632472075794781,8,11,8,seg_0469,Cold Black 2
38,0.2569736886947999,3,3,4,0.2804375292301297,8,11,8,seg_0428,Boston Med - Episode 8
39,0.31084043245386117,0,3,4,0.31114856782991424,8,11,0,seg_0521,Grey_s Anatomy E3-4
40,0.0,3,4,1,0.4485725631647367,11,6,4,seg_0638,ICU   Season 1 Episode 10
41,0.7677048833321387,3,4,2,1.0,11,6,2,seg_0636,Hopkins 247 - Episode 1
42,0.05865038808242483,6,4,7,0.08101386315325576,11,6,10,seg_0653,LEVEL 1 TRAUMA  When Seconds Count
43,0.9645564892802581,3,4,4,0.5994525986103659,11,6,9,seg_0578,Hopkins - Episode 4
44,0.10244960476354073,5,4,3,0.21853643933629255,11,6,0,seg_0688,Life _amp Death On Call With The Trauma Service  CNA Insider
45,1.0,0,4,5,0.4938873844014486,11,6,5,seg_0200,Trauma Life in the ER - Handle with Care  - Trauma Pro
46,0.7838170361947729,1,4,6,0.3387600792440533,11,6,6,seg_0307,Trauma Protocol
47,0.5551153814614432,8,4,3,0.5234618175351432,11,6,3,seg_0084,Stiletto in the Face  Untold Stories of the ER
48,0.5739788684115193,11,4,3,0.5361686670221096,11,6,3,seg_0423,Boston Med - Episode 1
49,0.4296224401210631,8,4,4,0.3291953100410855,11,6,0,seg_0519,Grey_s Anatomy E3-4
50,0.10989556878454644,6,5,3,0.21853643933629255,0,6,2,seg_0688,Life _amp Death On Call With The Trauma Service  CNA Insider
51,0.31351844393847283,3,5,3,0.3795175202257869,0,6,5,seg_0558,Hopkins - Episode 2
52,0.43286477057473316,2,5,3,0.4738708714765851,0,6,9,seg_0623,Hopkins 247 - Episode 1
53,0.5725070434199324,11,5,4,0.4382024118077731,0,6,1,seg_0607,Hopkins - Episode 7
54,0.0,11,5,2,0.19748206557384806,0,6,10,seg_0681,Life _amp Death On Call With The Trauma Service  CNA Insider
55,0.7442869012970642,4,5,5,0.4320458212001293,0,6,9,seg_0330,Up-Close Look At Real Life In Trauma Unit
56,0.43981190653249574,9,5,3,0.4793631692094477,0,6,5,seg_0414,Boston Med -  6
57,0.016540158678878054,3,5,1,0.43419330842254905,0,6,3,seg_0104,TLC Trauma Life in the ER Trick or Trauma
58,0.34621015383834447,10,5,4,0.3040223085437018,0,6,6,seg_0482,Critical Care During the Golden Hour
59,1.0,6,5,5,0.5533435025014537,0,6,5,seg_0366,Boston Med   Episode 4   YouTube
60,0.45219906967506507,3,6,5,0.18129515283135847,5,6,8,seg_0655,LEVEL 1 TRAUMA  When Seconds Count
