,acuity_score,col,config_num,keypoint,max_num_people,robot_col,robot_row,row,segment_number,video_name
0,0.25589016239238815,11,0,0.7508913639664931,3,3,0,1,seg_0605,Hopkins - Episode 7
1,0.17106630699719239,5,0,0.30966631154711793,5,3,0,4,seg_0669,Level One Trauma
2,0.0,3,0,0.03196676196274312,4,3,0,5,seg_0675,Level One Trauma
3,0.02893303844940355,10,0,0.3681151422999823,1,3,0,11,seg_0642,ICU   Season 1 Episode 10
4,1.0,0,0,0.9368285828039172,9,3,0,8,seg_0663,Level One Trauma
5,0.20939775463505017,9,0,0.9333100952964272,2,3,0,3,seg_0549,Hopkins - Episode 1 YouTube
6,0.08812141872868788,5,0,0.4297955982930505,2,3,0,2,seg_0327,Untold Stories of the ER 622020  Thin Red Line
7,0.08899418288817292,8,0,0.4334191362527146,2,3,0,2,seg_0544,Hopkins - Episode 1 YouTube
8,0.13387036182144513,8,0,0.6197358359959058,2,3,0,0,seg_0533,Hopkins - Episode 1 YouTube
9,0.5359271463415296,10,0,0.7629977411207717,6,3,0,4,seg_0454,Cold Black 1
10,0.34111599450667507,8,1,0.41146848806780173,4,5,9,11,seg_0679,Level One Trauma
11,0.0,0,1,0.03196676196274312,4,5,9,1,seg_0675,Level One Trauma
12,0.09581130083529645,10,1,0.18474625877648168,3,5,9,8,seg_0684,Life _amp Death On Call With The Trauma Service  CNA Insider
13,0.314873959980361,3,1,0.7645468826798723,2,5,9,11,seg_0596,Hopkins - Episode 6
14,0.15185312295328152,2,1,0.2009078940212293,4,5,9,7,seg_0631,Hopkins 247 - Episode 1
15,1.0,3,1,0.7629977411207717,6,5,9,0,seg_0454,Cold Black 1
16,0.6277753746816248,8,1,0.5843084841713699,5,5,9,7,seg_0067,Save My Life Boston Trauma Season 1 Episode 2
17,0.535760761663989,6,1,0.8373554688290721,3,5,9,11,seg_0002,Re-enactment of emergency room procedure for heart attack
18,0.32527941298051666,3,1,0.3938498184024513,4,5,9,3,seg_0318,Untold Stories Of The E R S11 - Ep03 Size Matters
19,0.4385181678637431,11,1,0.5198313133549876,4,5,9,3,seg_0005,Save My Life Boston Trauma (2015) Season 1 4
20,1.0,8,2,0.8661620019038756,4,9,6,6,seg_0677,Level One Trauma
21,0.0,0,2,0.0608750157769196,5,9,6,11,seg_0686,Life _amp Death On Call With The Trauma Service  CNA Insider
22,0.6999185038065937,9,2,0.6290771446956037,4,9,6,1,seg_0661,Level One Trauma
23,0.22909123294055644,3,2,0.5141829502781121,2,9,6,10,seg_0689,Life in a trauma center
24,0.060984507101105256,8,2,0.4971027657482186,1,9,6,8,seg_0612,Hopkins - Episode 7
25,0.8298333192839425,10,2,0.5853749706353102,5,9,6,8,seg_0289,Trauma Life in the ER - Tough Town  - Trauma Pro
26,0.8761460687334774,6,2,0.6146471563034026,5,9,6,4,seg_0372,Boston Med   Episode 5   YouTube
27,0.16253473513677566,7,2,0.409014601157899,2,9,6,4,seg_0483,Critical Care During the Golden Hour
28,0.1493895152271061,3,2,0.38824335984652736,2,9,6,5,seg_0230,Trauma Life in the ER - Life Less Ordinary  - Trauma Pro
29,0.26918826293379516,10,2,0.3850278196554559,3,9,6,7,seg_0216,Trauma Life in the ER - Judgment Calls  - Trauma Pro
30,0.012281688063302902,6,3,0.07872865437905759,2,6,6,2,seg_0569,Hopkins - Episode 4
31,0.0,0,3,0.10322304935036493,1,6,6,9,seg_0611,Hopkins - Episode 7
32,0.37543201559375433,3,3,0.3522159251280257,5,6,6,9,seg_0678,Level One Trauma
33,0.33224019917963443,0,3,0.5234501517393827,3,6,6,7,seg_0644,Inside Pediatrics Episode 1
34,0.04555213820596033,9,3,0.0608750157769196,5,6,6,8,seg_0686,Life _amp Death On Call With The Trauma Service  CNA Insider
35,0.15821117964908873,3,3,0.4009310202554715,2,6,6,11,seg_0211,Trauma Life in the ER - Judgment Calls  - Trauma Pro
36,0.8223539952094804,6,3,0.7469252265298092,5,6,6,4,seg_0458,Cold Black 1
37,0.5597099728684408,10,3,0.5149651903178458,5,6,6,0,seg_0026,Save My Life Boston Trauma (2015) Season 1 Episode 3
38,1.0,2,3,0.7531811101582433,6,6,6,0,seg_0331,Up-Close Look At Real Life In Trauma Unit
39,0.30440413814327016,2,3,0.4824767353991386,3,6,6,5,seg_0418,Boston Med - Episode 1
40,0.0,7,4,0.017569886683545758,3,1,11,0,seg_0672,Level One Trauma
41,0.8068006388449457,2,4,0.4421198075877781,4,1,11,9,seg_0671,Level One Trauma
42,0.8068006388449457,6,4,0.4421198075877781,4,1,11,9,seg_0671,Level One Trauma
43,0.3531035239615707,1,4,0.2009078940212293,4,1,11,4,seg_0631,Hopkins 247 - Episode 1
44,0.7114655649160853,8,4,0.5219121441658422,3,1,11,7,seg_0590,Hopkins - Episode 6
45,1.0,11,4,0.4358687073475523,5,1,11,10,seg_0339,Young Girl_39s Life Is On The Line After Being Hit By A Car  The Kid_39s Hospital  Real Families
46,0.2309132493849582,11,4,0.5437775987685916,1,1,11,7,seg_0541,Hopkins - Episode 1 YouTube
